Probe 1,Probe 2,Probe 3
0.104276,0.090897,0.100095
0.104821,0.09048,0.099139
0.105093,0.090202,0.098729
0.105502,0.090063,0.098182
0.106047,0.089785,0.097363
0.106183,0.089646,0.096953
0.106456,0.089646,0.096406
0.106865,0.089507,0.095586
0.107137,0.089507,0.095176
0.107273,0.089507,0.094766
0.107682,0.089646,0.094083
0.107955,0.089785,0.093673
0.108091,0.089924,0.093263
0.1085,0.090341,0.092717
0.108636,0.09048,0.092443
0.108908,0.090758,0.092307
0.109181,0.091175,0.09176
0.109317,0.091592,0.091623
0.10959,0.09187,0.09135
0.109726,0.092147,0.091077
0.109999,0.092703,0.090804
0.110135,0.09312,0.090667
0.110271,0.093537,0.090394
0.11068,0.094232,0.09012
0.110816,0.094649,0.089984
0.110952,0.095066,0.089847
0.111225,0.0959,0.089574
0.111361,0.096317,0.089574
0.111497,0.096733,0.089437
0.111906,0.097567,0.089437
0.112042,0.097984,0.0893
0.112179,0.098262,0.0893
0.112451,0.099096,0.0893
0.112587,0.099513,0.089437
0.112724,0.09993,0.089437
0.11286,0.100625,0.089574
0.112996,0.101042,0.08971
0.112996,0.101459,0.089847
0.113132,0.102153,0.090257
0.113132,0.10257,0.090394
0.113132,0.102848,0.090667
0.112996,0.103265,0.09094
0.11286,0.104099,0.09135
0.112724,0.104516,0.09176
0.112587,0.104933,0.092033
0.112315,0.105767,0.092853
0.112179,0.106184,0.093263
0.111906,0.1066,0.093673
0.111497,0.107434,0.094493
0.111361,0.107851,0.09504
0.111089,0.108268,0.09545
0.11068,0.108963,0.096406
0.110407,0.10938,0.096953
0.110135,0.109797,0.097499
0.109454,0.110353,0.098592
0.109181,0.11077,0.099139
0.108908,0.111186,0.099549
0.108227,0.111742,0.100642
0.107955,0.112159,0.101189
0.107546,0.112298,0.101599
0.106865,0.112854,0.102555
0.106592,0.113132,0.103102
0.106183,0.11341,0.103512
0.105366,0.113827,0.104468
0.104957,0.113966,0.104878
0.104548,0.114105,0.105288
0.10414,0.114244,0.105835
0.103186,0.114522,0.106654
0.102777,0.114522,0.106928
0.102232,0.114661,0.107338
0.101415,0.1148,0.108157
0.10087,0.1148,0.108431
0.100325,0.114939,0.108841
0.099371,0.114939,0.109387
0.098826,0.114939,0.109661
0.098281,0.1148,0.109934
0.097054,0.1148,0.11048
0.096509,0.1148,0.110754
0.095964,0.114661,0.111027
0.094874,0.114522,0.111574
0.094329,0.114383,0.11171
0.093784,0.114244,0.111847
0.092831,0.113966,0.112257
0.092422,0.113827,0.11253
0.092013,0.113688,0.112667
0.091332,0.113271,0.11294
0.091059,0.113132,0.113077
0.090787,0.112854,0.113213
0.090514,0.112576,0.11335
0.090105,0.112159,0.113487
0.089833,0.111881,0.113487
0.089697,0.111603,0.113623
0.089288,0.110909,0.113623
0.089152,0.110631,0.11376
0.089015,0.110353,0.11376
0.088607,0.109658,0.11376
0.08847,0.109241,0.11376
0.08847,0.108963,0.11376
0.088334,0.108129,0.11376
0.088334,0.107851,0.11376
0.088334,0.107434,0.113623
0.08847,0.106739,0.113487
0.088607,0.106322,0.113487
0.088743,0.105906,0.11335
0.089015,0.105072,0.113077
0.089152,0.104794,0.11294
0.089288,0.104238,0.112803
0.089833,0.103404,0.11253
0.089969,0.102987,0.112257
0.090242,0.10257,0.11212
0.090787,0.101597,0.111574
0.091059,0.101181,0.1113
0.091468,0.100764,0.111027
0.091877,0.100347,0.110754
0.092694,0.099374,0.11007
0.093239,0.098957,0.109661
0.093784,0.09854,0.109387
0.094874,0.097567,0.108567
0.095419,0.09715,0.108157
0.095964,0.096733,0.107748
0.097191,0.095761,0.106928
0.097736,0.095344,0.106518
0.098281,0.094927,0.106108
0.099234,0.093954,0.105151
0.099643,0.093537,0.104741
0.100188,0.093259,0.104331
0.101006,0.092425,0.103238
0.101415,0.092008,0.102828
0.101687,0.091731,0.102282
0.102368,0.091175,0.101325
0.102777,0.090897,0.100779
0.10305,0.090619,0.100369
0.103595,0.090202,0.099412
0.103867,0.090063,0.099002
0.10414,0.089924,0.098456
0.104548,0.089646,0.097636
0.104821,0.089646,0.097226
0.105093,0.089507,0.096816
0.10523,0.089507,0.096406
0.105775,0.089507,0.095723
0.105911,0.089507,0.095313
0.106183,0.089646,0.094903
0.106592,0.089785,0.094356
0.106865,0.089924,0.093946
0.107137,0.090063,0.093673
0.107682,0.090341,0.093127
0.107955,0.090619,0.09299
0.108227,0.090758,0.092717
0.108772,0.091314,0.092307
0.109181,0.091453,0.09217
0.109454,0.091731,0.091897
0.109999,0.092425,0.091623
0.110271,0.092703,0.09135
0.110544,0.092981,0.091214
0.110952,0.093676,0.09094
0.111225,0.094093,0.090804
0.111361,0.09451,0.090667
0.111906,0.095205,0.090394
0.112042,0.095622,0.090257
0.112179,0.096039,0.090257
0.112315,0.096456,0.09012
0.112587,0.097428,0.089984
0.11286,0.097845,0.089847
0.11286,0.098401,0.089847
0.113132,0.099235,0.089847
0.113269,0.099652,0.089847
0.113269,0.100208,0.089847
0.113405,0.101042,0.089984
0.113405,0.101459,0.090257
0.113405,0.101875,0.090257
0.113405,0.102709,0.09053
0.113405,0.102987,0.090804
0.113405,0.103404,0.09094
0.113405,0.104099,0.091487
0.113269,0.104516,0.09176
0.113132,0.104794,0.092033
0.112996,0.105489,0.092717
0.11286,0.105767,0.09299
0.112724,0.106045,0.0934
0.112315,0.106739,0.09422
0.112179,0.107017,0.094493
0.111906,0.107295,0.09504
0.111497,0.10799,0.095859
0.111361,0.108268,0.096269
0.111089,0.108546,0.096679
0.110816,0.108963,0.097089
0.110135,0.109519,0.098046
0.109862,0.109797,0.098456
0.10959,0.110214,0.098866
0.108908,0.11077,0.099685
0.1085,0.111047,0.100095
0.108091,0.111325,0.100505
0.107273,0.111881,0.101325
0.106865,0.112159,0.101735
0.106456,0.112298,0.102145
0.105502,0.112715,0.102965
0.104957,0.112854,0.103375
0.104548,0.113132,0.103785
0.103458,0.113271,0.104468
0.102913,0.11341,0.104878
0.102368,0.113549,0.105288
0.101415,0.113688,0.106108
0.10087,0.113688,0.106381
0.100325,0.113688,0.106791
0.099371,0.113827,0.107474
0.098962,0.113827,0.107748
0.098417,0.113827,0.108157
0.098008,0.113827,0.108431
0.097054,0.113827,0.109114
0.096646,0.113688,0.109387
0.096101,0.113827,0.109661
0.095283,0.113688,0.110207
0.094874,0.113549,0.110344
0.094466,0.113549,0.110617
0.093648,0.11341,0.111164
0.093239,0.113271,0.111437
0.092831,0.113132,0.111574
0.092149,0.113132,0.111984
0.091741,0.112993,0.112257
0.091468,0.112854,0.112393
0.090787,0.112576,0.112803
0.090514,0.112437,0.11294
0.090378,0.112159,0.113077
0.089969,0.111881,0.11335
0.089697,0.111603,0.113487
0.089697,0.111464,0.113623
0.089424,0.110909,0.11376
0.089288,0.110631,0.11376
0.089152,0.110353,0.11376
0.088879,0.109658,0.113897
0.088607,0.10938,0.113897
0.088607,0.109102,0.113897
0.08847,0.108685,0.113897
0.088334,0.107851,0.113897
0.088334,0.107573,0.113897
0.088334,0.107156,0.11376
0.08847,0.106322,0.113623
0.088607,0.105906,0.113487
0.088879,0.105489,0.113487
0.089288,0.104655,0.113213
0.089697,0.104238,0.113077
0.090105,0.103682,0.112803
0.090923,0.102848,0.112393
0.091332,0.102431,0.112257
0.091877,0.102014,0.111984
0.092831,0.10132,0.111574
0.093376,0.100764,0.111164
0.093921,0.100347,0.11089
0.094874,0.099513,0.110207
0.095419,0.099096,0.109797
0.095828,0.098679,0.109524
0.096782,0.097706,0.108704
0.097327,0.097289,0.108294
0.097736,0.096733,0.107884
0.098144,0.096317,0.107474
0.098962,0.095344,0.106518
0.099371,0.094788,0.106108
0.099643,0.09451,0.105561
0.100461,0.093537,0.104605
0.100733,0.09312,0.104058
0.101006,0.092703,0.103648
0.101687,0.092008,0.102555
0.10196,0.091731,0.102145
0.102232,0.091453,0.101599
0.102913,0.090897,0.100642
0.103186,0.090619,0.100095
0.103458,0.09048,0.099549
0.10414,0.089924,0.098592
0.104412,0.089785,0.098182
0.104685,0.089646,0.097772
0.10523,0.089368,0.096816
0.105366,0.089368,0.096406
0.105638,0.089229,0.095996
0.106047,0.089229,0.095176
0.10632,0.089229,0.094903
0.106456,0.089229,0.094356
0.106865,0.089368,0.093673
0.107137,0.089507,0.093263
0.107273,0.089646,0.092853
0.107546,0.089646,0.09258
0.107955,0.089924,0.091897
0.108227,0.090202,0.091623
0.1085,0.090341,0.09135
0.108908,0.090758,0.090804
0.109181,0.091036,0.09053
0.109317,0.091314,0.090257
0.109862,0.092008,0.089847
0.110135,0.092286,0.08971
0.110271,0.092703,0.089437
0.110816,0.093537,0.089164
0.111089,0.093954,0.089164
0.111225,0.094371,0.089027
0.111634,0.095205,0.089027
0.11177,0.095761,0.089027
0.111906,0.096178,0.089027
0.112315,0.09715,0.089027
0.112451,0.097706,0.089027
0.112587,0.098123,0.089027
0.112724,0.099096,0.0893
0.112724,0.099652,0.0893
0.11286,0.100069,0.089437
0.112996,0.101181,0.08971
0.11286,0.101597,0.08971
0.11286,0.102014,0.089984
0.11286,0.10257,0.09012
0.11286,0.103404,0.09053
0.11286,0.103821,0.090804
0.11286,0.104238,0.09094
0.112587,0.105072,0.091623
0.112587,0.105489,0.091897
0.112451,0.105767,0.092307
0.112315,0.106461,0.093127
0.112179,0.106878,0.093536
0.112042,0.107295,0.093946
0.11177,0.107851,0.094903
0.111634,0.108129,0.09545
0.111497,0.108546,0.095996
0.111089,0.109102,0.097089
0.110952,0.10938,0.097499
0.11068,0.109658,0.098046
0.110271,0.110214,0.099139
0.109999,0.110492,0.099549
0.109726,0.11077,0.100095
0.109181,0.111325,0.100915
0.108772,0.111603,0.101462
0.1085,0.111881,0.101872
0.108091,0.112159,0.102282
0.10741,0.112576,0.103102
0.107001,0.112854,0.103512
0.106456,0.112993,0.103921
0.105502,0.11341,0.104605
0.104957,0.113549,0.105015
0.104548,0.113688,0.105425
0.103458,0.113966,0.106108
0.102777,0.114105,0.106518
0.102232,0.114105,0.106791
0.101006,0.114383,0.107474
0.100461,0.114383,0.107884
0.099779,0.114522,0.108157
0.098689,0.114522,0.108704
0.098144,0.114522,0.108977
0.097463,0.114522,0.109387
0.096373,0.114383,0.109797
0.095964,0.114383,0.11007
0.095419,0.114244,0.110344
0.094602,0.114105,0.110754
0.094193,0.113966,0.111027
0.093784,0.113688,0.111164
0.093103,0.11341,0.111574
0.092831,0.113271,0.11171
0.092558,0.113132,0.111847
0.092286,0.112854,0.111984
0.091604,0.112437,0.112257
0.091332,0.112298,0.112393
0.091059,0.11202,0.11253
0.090514,0.111603,0.112667
0.090105,0.111325,0.112803
0.089833,0.111047,0.112803
0.089288,0.110631,0.11294
0.088879,0.110353,0.11294
0.088743,0.110075,0.11294
0.088334,0.10938,0.11294
0.088198,0.109102,0.11294
0.088198,0.108824,0.11294
0.088062,0.108268,0.112803
0.088062,0.107851,0.112803
0.088062,0.107434,0.112803
0.088198,0.106739,0.112667
0.088198,0.106322,0.11253
0.088334,0.106045,0.11253
0.08847,0.105072,0.112257
0.088607,0.104655,0.112257
0.088743,0.104238,0.11212
0.088879,0.103682,0.111984
0.089288,0.102848,0.111574
0.08956,0.102292,0.111437
0.089969,0.101875,0.1113
0.09065,0.100903,0.11089
0.091196,0.100347,0.110617
0.091604,0.09993,0.110344
0.092558,0.099096,0.109797
0.093103,0.098679,0.109524
0.093648,0.098262,0.109251
0.094738,0.097428,0.108567
0.095419,0.09715,0.108157
0.095964,0.096733,0.107748
0.097054,0.0959,0.106928
0.097463,0.095483,0.106518
0.098008,0.095205,0.106108
0.098962,0.094371,0.105288
0.099507,0.093954,0.104878
0.099916,0.093676,0.104468
0.10087,0.092842,0.103648
0.101278,0.092425,0.103102
0.101687,0.092147,0.102692
0.102505,0.091592,0.101872
0.102777,0.091314,0.101325
0.10305,0.091175,0.100915
0.103458,0.090897,0.100505
0.104003,0.09048,0.099549
0.104276,0.090202,0.099139
0.104548,0.090063,0.098729
0.105093,0.089785,0.097909
0.10523,0.089646,0.097499
0.105502,0.089507,0.096953
0.106047,0.089368,0.096133
0.106183,0.089229,0.095723
0.106456,0.089229,0.095313
0.107001,0.089368,0.094493
0.107137,0.089368,0.094083
0.10741,0.089507,0.093673
0.107955,0.089646,0.092853
0.108227,0.089924,0.09258
0.1085,0.090063,0.09217
0.108908,0.090341,0.091623
0.109181,0.090619,0.09135
0.109454,0.090897,0.091077
0.109862,0.091314,0.090667
0.110135,0.091731,0.090394
0.110271,0.092008,0.090257
0.11068,0.092703,0.089984
0.110816,0.09312,0.089847
0.110952,0.093537,0.08971
0.111225,0.093954,0.089574
0.111497,0.094927,0.089437
0.111497,0.095344,0.0893
0.111634,0.0959,0.0893
0.111906,0.096733,0.089164
0.111906,0.09715,0.089164
0.112042,0.097706,0.089164
0.112179,0.098401,0.089164
0.112179,0.098818,0.089164
0.112315,0.099235,0.089164
0.112315,0.100069,0.0893
0.112451,0.100347,0.0893
0.112451,0.100764,0.089437
0.112451,0.101459,0.089574
0.112451,0.101875,0.08971
0.112451,0.102153,0.089847
0.112451,0.102987,0.090257
0.112451,0.103404,0.09053
0.112451,0.103682,0.090804
0.112315,0.104516,0.09135
0.112179,0.104794,0.091623
0.112179,0.105211,0.092033
0.112042,0.105628,0.092443
0.11177,0.106461,0.093127
0.111634,0.106878,0.093673
0.111497,0.107156,0.094083
0.111089,0.107851,0.09504
0.110816,0.108129,0.09545
0.110544,0.108546,0.095996
0.109999,0.109241,0.096953
0.109726,0.109519,0.097499
0.109317,0.109797,0.098046
0.108636,0.110353,0.099002
0.108227,0.110631,0.099412
0.107818,0.11077,0.099959
0.107001,0.111325,0.100779
0.106592,0.111464,0.101325
0.106183,0.111742,0.101735
0.10523,0.11202,0.102555
0.104821,0.112159,0.102828
0.104412,0.112298,0.103238
0.103458,0.112576,0.104058
0.102913,0.112576,0.104331
0.102505,0.112715,0.104741
0.101687,0.112854,0.105425
0.101142,0.112854,0.105835
0.100733,0.112993,0.106108
0.100188,0.112993,0.106518
0.099371,0.113132,0.107201
0.098826,0.113132,0.107474
0.098417,0.113132,0.107884
0.097463,0.113271,0.108567
0.097054,0.113271,0.108977
0.096509,0.113271,0.109251
0.095556,0.113271,0.109797
0.095147,0.113271,0.11007
0.094602,0.113271,0.110344
0.093784,0.113271,0.11089
0.093376,0.113132,0.111164
0.092967,0.113132,0.111437
0.092286,0.112993,0.111847
0.091877,0.112993,0.11212
0.091604,0.112854,0.112257
0.091059,0.112576,0.11253
0.090923,0.112437,0.112667
0.09065,0.112298,0.112803
0.090242,0.11202,0.113077
0.090105,0.111742,0.113077
0.089833,0.111603,0.113077
0.08956,0.111325,0.113213
0.089288,0.11077,0.113213
0.089015,0.110492,0.113213
0.088879,0.110214,0.113213
0.08847,0.109519,0.113077
0.088334,0.109241,0.113077
0.088334,0.108824,0.113077
0.088334,0.108129,0.11294
0.088198,0.107712,0.112803
0.088334,0.107295,0.112803
0.08847,0.106322,0.11253
0.088607,0.105906,0.11253
0.088743,0.10535,0.112393
0.089152,0.104377,0.11212
0.089424,0.103821,0.111984
0.089697,0.103404,0.111847
0.090242,0.102431,0.111574
0.090514,0.101875,0.1113
0.090787,0.101459,0.111164
0.091604,0.100347,0.110754
0.092013,0.09993,0.11048
0.092422,0.099374,0.110207
0.093239,0.09854,0.109661
0.093648,0.098123,0.109387
0.094057,0.097567,0.109114
0.094602,0.09715,0.108704
0.095419,0.096317,0.108021
0.095828,0.0959,0.107611
0.096237,0.095483,0.107201
0.097191,0.094788,0.106244
0.097599,0.094371,0.105835
0.098008,0.093954,0.105425
0.098826,0.093259,0.104468
0.099098,0.092703,0.103785
0.099507,0.092286,0.103375
0.100461,0.091453,0.102282
0.10087,0.091314,0.101735
0.101142,0.090897,0.101189
0.10196,0.090341,0.100095
0.102368,0.090063,0.099549
0.102641,0.089924,0.099139
0.103322,0.089368,0.098182
0.103731,0.089229,0.097636
0.104003,0.08909,0.097226
0.104548,0.088673,0.096269
0.104821,0.088534,0.095859
0.105093,0.088534,0.095313
0.105502,0.088395,0.094493
0.105638,0.088256,0.094083
0.105911,0.088256,0.093673
0.106047,0.088256,0.093263
0.106456,0.088395,0.092443
0.106728,0.088395,0.092033
0.106865,0.088534,0.09176
0.107273,0.088812,0.091077
0.107546,0.088951,0.090804
0.107818,0.089229,0.09053
0.108227,0.089646,0.09012
0.1085,0.089924,0.089984
0.108772,0.090063,0.089847
0.109181,0.090758,0.089574
0.109454,0.091175,0.089437
0.10959,0.091592,0.0893
0.110135,0.092425,0.089164
0.110271,0.092842,0.089027
0.110544,0.093398,0.089027
0.110952,0.094371,0.088891
0.111089,0.094927,0.088754
0.111225,0.095483,0.088754
0.111497,0.096595,0.088754
0.11177,0.09715,0.088754
0.11177,0.097706,0.088891
0.111906,0.098123,0.088891
0.112179,0.099096,0.089027
0.112179,0.099652,0.089027
0.112315,0.100069,0.089164
0.112451,0.101042,0.0893
0.112451,0.101459,0.089437
0.112587,0.101875,0.089574
0.112587,0.102709,0.089984
0.112587,0.103265,0.090257
0.112451,0.103543,0.09053
0.112451,0.104377,0.091077
0.112451,0.104794,0.091487
0.112315,0.105211,0.091897
0.112179,0.105906,0.092717
0.112179,0.106322,0.093127
0.112042,0.106739,0.093673
0.11177,0.107434,0.094493
0.111634,0.107712,0.09504
0.111497,0.108129,0.09545
0.111089,0.108685,0.096406
0.110952,0.108824,0.096816
0.11068,0.109102,0.097226
0.110135,0.109658,0.098046
0.109862,0.109797,0.098592
0.10959,0.110075,0.098866
0.109181,0.110353,0.099276
0.1085,0.110631,0.100095
0.108091,0.110909,0.100642
0.107546,0.111047,0.100915
0.106728,0.111464,0.101735
0.106183,0.111603,0.102145
0.105638,0.111742,0.102555
0.104685,0.11202,0.103375
0.10414,0.112159,0.103785
0.103458,0.112298,0.104058
0.102368,0.112437,0.104878
0.101823,0.112576,0.105288
0.101142,0.112576,0.105561
0.100052,0.112715,0.106244
0.099507,0.112854,0.106654
0.098962,0.112854,0.106928
0.097872,0.112993,0.107474
0.097327,0.112993,0.107884
0.096918,0.112993,0.108021
0.095964,0.112993,0.108567
0.095556,0.112854,0.108841
0.095147,0.112854,0.109114
0.094329,0.112715,0.109524
0.094057,0.112715,0.109797
0.093648,0.112576,0.109934
0.093239,0.112576,0.110207
0.092558,0.112437,0.110617
0.092286,0.112298,0.110754
0.091877,0.112298,0.11089
0.091196,0.11202,0.111164
0.090923,0.111881,0.1113
0.090514,0.111881,0.111574
0.089833,0.111603,0.11171
0.08956,0.111325,0.111847
0.089288,0.111186,0.111984
0.088879,0.11077,0.11212
0.088607,0.110631,0.112257
0.08847,0.110353,0.112257
0.088062,0.109797,0.112257
0.088062,0.109519,0.112393
0.087925,0.109241,0.112393
0.087653,0.108546,0.112393
0.087653,0.108268,0.112393
0.087653,0.107851,0.112393
0.087517,0.107156,0.112257
0.087517,0.106739,0.112257
0.087517,0.106322,0.112257
0.087653,0.105906,0.11212
0.087789,0.105072,0.111984
0.087925,0.104655,0.111847
0.088198,0.104099,0.111847
0.088607,0.103265,0.111574
0.089015,0.102848,0.111437
0.089288,0.102431,0.1113
0.090105,0.101459,0.11089
0.090514,0.101042,0.110754
0.090923,0.100625,0.110617
0.091877,0.099652,0.110207
0.092422,0.099235,0.109934
0.092831,0.098818,0.109661
0.093921,0.097845,0.109251
0.094466,0.097428,0.108841
0.094874,0.096872,0.108567
0.095964,0.096039,0.108021
0.096373,0.095483,0.107611
0.096918,0.095205,0.107338
0.097736,0.094232,0.106518
0.098281,0.093954,0.106108
0.098689,0.093537,0.105698
0.099507,0.092981,0.104741
0.099916,0.092564,0.104331
0.100325,0.092286,0.103785
0.100733,0.092008,0.103238
0.101551,0.091592,0.102282
0.101823,0.091175,0.101735
0.102232,0.091036,0.101189
0.102913,0.09048,0.100095
0.103322,0.090202,0.099549
0.103595,0.089924,0.099002
0.104276,0.089507,0.097909
0.104548,0.089229,0.097499
0.104957,0.08909,0.096953
0.105502,0.088673,0.096133
0.105775,0.088673,0.095723
0.106047,0.088534,0.095176
0.106592,0.088534,0.094356
0.106865,0.088534,0.093946
0.107137,0.088673,0.093673
0.107682,0.088951,0.092853
0.107818,0.08909,0.09258
0.108091,0.089229,0.09217
0.108363,0.089646,0.091487
0.1085,0.089924,0.091214
0.108772,0.090063,0.090804
0.108908,0.090619,0.090394
0.109045,0.090897,0.090257
0.109045,0.091175,0.089984
0.109181,0.091453,0.08971
0.109317,0.092008,0.089437
0.109317,0.092425,0.0893
0.109454,0.092703,0.089164
0.10959,0.093398,0.088891
0.10959,0.093815,0.088754
0.109726,0.094093,0.088617
0.109862,0.094927,0.088481
0.109999,0.095344,0.088481
0.110135,0.0959,0.088481
0.110407,0.096733,0.088481
0.110544,0.097289,0.088617
0.11068,0.097706,0.088617
0.111089,0.098679,0.088617
0.111225,0.099235,0.088754
0.111361,0.099791,0.088891
0.111634,0.100764,0.089164
0.11177,0.101181,0.0893
0.111906,0.101736,0.089437
0.112042,0.102709,0.089847
0.112042,0.103126,0.09012
0.112042,0.103543,0.090394
0.112042,0.104099,0.090667
0.112042,0.104794,0.09135
0.112042,0.105211,0.091623
0.111906,0.105628,0.092033
0.11177,0.106184,0.092717
0.111634,0.1066,0.093127
0.111361,0.106878,0.093536
0.110952,0.107434,0.094493
0.11068,0.107712,0.094903
0.110407,0.10799,0.09545
0.109726,0.108546,0.096406
0.109454,0.108685,0.096953
0.109181,0.108963,0.097363
0.108363,0.109519,0.098456
0.108091,0.109797,0.098866
0.107682,0.109936,0.099412
0.106865,0.110492,0.100369
0.106456,0.110631,0.100779
0.106183,0.110909,0.101325
0.105366,0.111325,0.102145
0.104957,0.111464,0.102692
0.104548,0.111603,0.103102
0.103731,0.11202,0.103921
0.103458,0.112159,0.104331
0.102913,0.112298,0.104741
0.102505,0.112437,0.105151
0.101687,0.112715,0.105835
0.101142,0.112854,0.106244
0.100733,0.112854,0.106654
0.099643,0.113132,0.107338
0.099098,0.113132,0.107611
0.098689,0.113271,0.107884
0.097599,0.11341,0.108431
0.097054,0.11341,0.108704
0.096509,0.11341,0.108977
0.095419,0.113549,0.109524
0.095011,0.113549,0.109797
0.094466,0.113549,0.11007
0.093512,0.11341,0.110617
0.093239,0.11341,0.110754
0.092831,0.113271,0.111027
0.092149,0.113271,0.111437
0.091877,0.113132,0.111574
0.091468,0.112993,0.11171
0.090923,0.112854,0.11212
0.090787,0.112715,0.112257
0.090514,0.112437,0.112393
0.090242,0.112298,0.11253
0.089697,0.111881,0.112667
0.089424,0.111742,0.112803
0.089152,0.111464,0.112803
0.088607,0.110909,0.11294
0.088334,0.110631,0.11294
0.088198,0.110214,0.11294
0.087789,0.109658,0.11294
